iter	Passed	Remaining
0	135	135296
1	137	68737
2	140	46530
3	142	35422
4	144	28759
5	148	24593
6	150	21415
7	153	18998
8	155	17127
9	158	15645
10	160	14465
11	164	13530
12	166	12641
13	168	11875
14	171	11265
15	174	10725
16	177	10263
17	180	9846
18	182	9435
19	185	9075
20	187	8741
21	188	8371
22	190	8087
23	192	7834
24	196	7673
25	199	7474
26	202	7298
27	205	7134
28	207	6960
29	215	6962
30	218	6815
31	220	6679
32	223	6550
33	226	6440
34	230	6344
35	232	6226
36	235	6118
37	237	6009
38	239	5904
39	243	5844
40	246	5759
41	248	5672
42	251	5602
43	254	5526
44	257	5467
45	261	5416
46	263	5336
47	265	5270
48	268	5208
49	271	5149
50	273	5082
51	275	5031
52	278	4970
53	280	4911
54	282	4852
55	284	4799
56	287	4756
57	290	4710
58	293	4680
59	295	4635
60	298	4589
61	300	4545
62	302	4505
63	305	4462
64	308	4431
65	310	4393
66	312	4356
67	315	4327
68	318	4299
69	321	4266
70	324	4242
71	326	4211
72	329	4180
73	331	4148
74	334	4119
75	336	4087
76	338	4059
77	341	4032
78	343	4003
79	345	3975
80	348	3953
81	350	3927
82	352	3899
83	355	3876
84	357	3852
85	359	3824
86	363	3814
87	367	3804
88	369	3781
89	372	3770
90	375	3749
91	377	3727
92	380	3707
93	382	3688
94	385	3669
95	388	3654
96	390	3634
97	392	3613
98	394	3590
99	396	3570
100	398	3550
101	400	3530
102	403	3512
103	405	3493
104	407	3474
105	410	3458
106	412	3440
107	414	3422
108	416	3408
109	419	3393
110	422	3385
111	425	3373
112	428	3362
113	430	3348
114	433	3333
115	437	3332
116	441	3328
117	443	3318
118	446	3305
119	449	3292
120	452	3285
121	456	3283
122	458	3267
123	460	3255
124	463	3241
125	465	3228
126	468	3223
127	471	3215
128	474	3201
129	476	3191
130	479	3179
131	481	3168
132	485	3162
133	487	3153
134	490	3141
135	492	3130
136	495	3118
137	497	3107
138	501	3106
139	504	3098
140	506	3088
141	509	3079
142	511	3068
143	514	3061
144	518	3058
145	520	3047
146	523	3037
147	526	3032
148	530	3029
149	535	3036
150	542	3049
151	550	3069
152	554	3067
153	557	3065
154	566	3088
155	569	3080
156	573	3081
157	577	3076
158	583	3085
159	586	3077
160	589	3070
161	592	3062
162	598	3075
163	604	3079
164	608	3079
165	613	3083
166	620	3093
167	625	3095
168	631	3103
169	638	3117
170	642	3112
171	650	3131
172	658	3149
173	661	3137
174	663	3129
175	667	3124
176	671	3120
177	673	3110
178	693	3182
179	696	3173
180	699	3166
181	702	3158
182	706	3152
183	709	3145
184	712	3140
185	717	3140
186	722	3139
187	725	3131
188	728	3126
189	731	3116
190	738	3126
191	745	3136
192	748	3128
193	751	3122
194	755	3120
195	759	3114
196	762	3108
197	765	3102
198	773	3114
199	777	3110
200	780	3103
201	783	3094
202	786	3089
203	789	3078
204	791	3068
205	793	3058
206	796	3050
207	798	3042
208	801	3034
209	805	3030
210	808	3023
211	811	3016
212	814	3007
213	818	3004
214	820	2996
215	823	2987
216	825	2979
217	828	2970
218	830	2960
219	835	2961
220	838	2954
221	841	2948
222	843	2938
223	845	2930
224	849	2927
225	852	2919
226	854	2910
227	856	2901
228	859	2892
229	860	2882
230	863	2874
231	866	2867
232	868	2860
233	871	2851
234	873	2843
235	875	2835
236	878	2827
237	882	2825
238	885	2820
239	889	2816
240	892	2811
241	895	2805
242	898	2798
243	901	2793
244	905	2789
245	908	2784
246	913	2783
247	915	2776
248	917	2768
249	920	2760
250	922	2754
251	925	2746
252	928	2740
253	930	2732
254	932	2725
255	935	2719
256	938	2712
257	940	2705
258	943	2699
259	946	2692
260	948	2685
261	950	2678
262	953	2671
263	955	2664
264	958	2657
265	960	2650
266	962	2643
267	964	2635
268	967	2629
269	969	2622
270	972	2615
271	974	2609
272	977	2602
273	979	2595
274	981	2588
275	984	2582
276	986	2575
277	988	2568
278	991	2562
279	994	2556
280	996	2550
281	998	2542
282	1001	2536
283	1003	2530
284	1006	2524
285	1008	2517
286	1010	2511
287	1012	2504
288	1015	2497
289	1017	2490
290	1019	2484
291	1021	2477
292	1023	2470
293	1026	2465
294	1029	2459
295	1031	2453
296	1033	2446
297	1035	2440
298	1038	2434
299	1040	2427
300	1042	2421
301	1044	2415
302	1047	2409
303	1050	2404
304	1053	2400
305	1055	2394
306	1057	2387
307	1059	2381
308	1062	2375
309	1064	2370
310	1067	2364
311	1069	2358
312	1071	2351
313	1074	2347
314	1077	2342
315	1079	2336
316	1081	2330
317	1084	2324
318	1086	2319
319	1088	2313
320	1091	2307
321	1093	2303
322	1096	2297
323	1098	2292
324	1101	2286
325	1103	2281
326	1105	2275
327	1107	2269
328	1110	2264
329	1112	2258
330	1115	2253
331	1117	2248
332	1119	2242
333	1122	2237
334	1124	2231
335	1126	2226
336	1129	2221
337	1131	2215
338	1133	2210
339	1136	2205
340	1139	2201
341	1141	2196
342	1144	2191
343	1146	2186
344	1149	2181
345	1151	2175
346	1153	2170
347	1155	2165
348	1158	2160
349	1160	2154
350	1162	2148
351	1164	2143
352	1166	2138
353	1170	2135
354	1173	2132
355	1177	2130
356	1182	2129
357	1188	2131
358	1192	2128
359	1195	2125
360	1198	2122
361	1202	2118
362	1204	2114
363	1207	2108
364	1209	2103
365	1211	2098
366	1214	2095
367	1217	2091
368	1220	2087
369	1223	2082
370	1225	2078
371	1228	2073
372	1231	2070
373	1234	2066
374	1237	2062
375	1239	2057
376	1243	2055
377	1247	2052
378	1250	2049
379	1253	2045
380	1255	2040
381	1258	2035
382	1260	2030
383	1264	2028
384	1267	2024
385	1269	2019
386	1271	2014
387	1274	2009
388	1276	2005
389	1280	2002
390	1283	1999
391	1285	1994
392	1288	1989
393	1290	1984
394	1292	1980
395	1296	1976
396	1299	1973
397	1301	1968
398	1304	1964
399	1306	1959
400	1309	1955
401	1312	1952
402	1315	1949
403	1318	1944
404	1320	1940
405	1322	1935
406	1325	1931
407	1329	1929
408	1333	1926
409	1338	1926
410	1346	1928
411	1351	1928
412	1355	1926
413	1360	1925
414	1364	1924
415	1368	1921
416	1375	1922
417	1380	1921
418	1384	1919
419	1388	1916
420	1392	1915
421	1399	1917
422	1403	1913
423	1415	1922
424	1417	1918
425	1423	1917
426	1426	1914
427	1455	1945
428	1467	1953
429	1473	1953
430	1482	1956
431	1485	1953
432	1490	1951
433	1493	1947
434	1495	1942
435	1498	1938
436	1501	1934
437	1504	1930
438	1508	1927
439	1510	1922
440	1513	1918
441	1515	1913
442	1519	1910
443	1523	1907
444	1526	1903
445	1528	1899
446	1532	1896
447	1536	1893
448	1539	1889
449	1542	1884
450	1544	1879
451	1546	1875
452	1550	1872
453	1552	1867
454	1555	1862
455	1558	1858
456	1560	1854
457	1562	1849
458	1566	1846
459	1568	1841
460	1571	1837
461	1573	1832
462	1575	1827
463	1578	1823
464	1581	1819
465	1584	1815
466	1587	1811
467	1589	1807
468	1592	1802
469	1594	1797
470	1596	1793
471	1599	1789
472	1601	1784
473	1604	1780
474	1606	1775
475	1608	1771
476	1611	1766
477	1614	1763
478	1617	1758
479	1619	1754
480	1621	1749
481	1623	1744
482	1625	1740
483	1628	1735
484	1630	1731
485	1632	1726
486	1635	1722
487	1638	1719
488	1641	1715
489	1644	1711
490	1647	1707
491	1650	1703
492	1653	1700
493	1656	1696
494	1659	1692
495	1662	1689
496	1665	1685
497	1667	1680
498	1669	1676
499	1672	1672
500	1674	1667
501	1677	1664
502	1680	1660
503	1682	1655
504	1684	1650
505	1686	1646
506	1688	1642
507	1691	1638
508	1693	1633
509	1696	1629
510	1698	1625
511	1700	1620
512	1702	1616
513	1705	1612
514	1708	1608
515	1710	1604
516	1713	1601
517	1715	1596
518	1718	1592
519	1721	1588
520	1723	1584
521	1726	1580
522	1728	1576
523	1730	1572
524	1732	1567
525	1735	1563
526	1737	1559
527	1740	1555
528	1742	1551
529	1744	1547
530	1747	1543
531	1749	1539
532	1752	1535
533	1754	1531
534	1757	1527
535	1759	1523
536	1761	1519
537	1764	1515
538	1767	1511
539	1770	1507
540	1773	1504
541	1775	1500
542	1778	1496
543	1781	1493
544	1783	1489
545	1785	1484
546	1789	1481
547	1791	1477
548	1793	1473
549	1796	1469
550	1798	1465
551	1801	1461
552	1804	1458
553	1806	1454
554	1809	1450
555	1811	1446
556	1813	1442
557	1815	1438
558	1818	1434
559	1820	1430
560	1823	1427
561	1826	1423
562	1828	1419
563	1831	1415
564	1833	1411
565	1836	1408
566	1839	1404
567	1842	1400
568	1844	1397
569	1846	1393
570	1849	1389
571	1851	1385
572	1854	1381
573	1856	1377
574	1858	1373
575	1861	1370
576	1864	1366
577	1866	1362
578	1870	1359
579	1872	1355
580	1874	1351
581	1876	1347
582	1879	1344
583	1881	1340
584	1884	1337
585	1887	1333
586	1889	1329
587	1892	1325
588	1894	1322
589	1897	1318
590	1900	1315
591	1902	1311
592	1905	1307
593	1908	1304
594	1910	1300
595	1913	1297
596	1916	1293
597	1918	1289
598	1921	1286
599	1923	1282
600	1925	1278
601	1927	1274
602	1930	1270
603	1932	1267
604	1934	1263
605	1937	1259
606	1940	1256
607	1942	1252
608	1945	1248
609	1947	1245
610	1950	1241
611	1952	1238
612	1956	1234
613	1958	1231
614	1960	1227
615	1963	1223
616	1965	1220
617	1967	1216
618	1970	1212
619	1972	1209
620	1974	1205
621	1977	1201
622	1979	1197
623	1981	1194
624	1984	1190
625	1986	1186
626	1988	1183
627	1990	1179
628	1993	1175
629	1995	1171
630	1997	1168
631	1999	1164
632	2001	1160
633	2004	1156
634	2006	1153
635	2008	1149
636	2010	1145
637	2012	1142
638	2015	1138
639	2017	1134
640	2019	1130
641	2021	1127
642	2024	1123
643	2026	1120
644	2028	1116
645	2030	1112
646	2032	1109
647	2034	1105
648	2037	1101
649	2039	1098
650	2041	1094
651	2044	1091
652	2046	1087
653	2048	1083
654	2050	1080
655	2052	1076
656	2055	1072
657	2057	1069
658	2059	1065
659	2062	1062
660	2064	1058
661	2066	1055
662	2068	1051
663	2070	1047
664	2072	1044
665	2075	1040
666	2078	1037
667	2080	1033
668	2082	1030
669	2084	1026
670	2086	1023
671	2089	1019
672	2091	1016
673	2093	1012
674	2096	1009
675	2098	1005
676	2100	1002
677	2103	998
678	2105	995
679	2107	991
680	2110	988
681	2112	985
682	2115	981
683	2117	978
684	2119	974
685	2122	971
686	2124	967
687	2126	964
688	2128	960
689	2130	957
690	2133	953
691	2135	950
692	2138	947
693	2140	943
694	2142	940
695	2144	936
696	2146	933
697	2149	929
698	2151	926
699	2154	923
700	2156	919
701	2159	916
702	2161	913
703	2164	909
704	2167	906
705	2169	903
706	2171	900
707	2174	896
708	2176	893
709	2178	889
710	2180	886
711	2183	883
712	2185	879
713	2188	876
714	2190	872
715	2192	869
716	2194	866
717	2197	862
718	2199	859
719	2201	856
720	2204	852
721	2206	849
722	2208	846
723	2211	842
724	2213	839
725	2215	836
726	2217	832
727	2219	829
728	2222	826
729	2224	822
730	2226	819
731	2229	816
732	2231	812
733	2233	809
734	2235	806
735	2237	802
736	2239	799
737	2242	796
738	2245	792
739	2247	789
740	2249	786
741	2251	782
742	2254	779
743	2256	776
744	2258	773
745	2260	769
746	2263	766
747	2265	763
748	2267	759
749	2269	756
750	2271	753
751	2274	749
752	2276	746
753	2278	743
754	2281	740
755	2283	737
756	2285	733
757	2287	730
758	2290	727
759	2292	723
760	2294	720
761	2297	717
762	2299	714
763	2302	711
764	2304	708
765	2307	704
766	2309	701
767	2311	698
768	2314	695
769	2316	691
770	2318	688
771	2320	685
772	2323	682
773	2325	678
774	2327	675
775	2330	672
776	2332	669
777	2334	666
778	2337	663
779	2339	659
780	2341	656
781	2343	653
782	2345	650
783	2348	646
784	2350	643
785	2353	640
786	2355	637
787	2357	634
788	2359	630
789	2361	627
790	2363	624
791	2366	621
792	2368	618
793	2371	615
794	2373	611
795	2375	608
796	2377	605
797	2380	602
798	2382	599
799	2384	596
800	2386	592
801	2388	589
802	2391	586
803	2393	583
804	2396	580
805	2398	577
806	2400	574
807	2402	570
808	2405	567
809	2407	564
810	2409	561
811	2412	558
812	2414	555
813	2416	552
814	2419	549
815	2421	546
816	2425	543
817	2427	540
818	2429	536
819	2431	533
820	2434	530
821	2436	527
822	2438	524
823	2441	521
824	2443	518
825	2445	515
826	2447	512
827	2449	508
828	2451	505
829	2454	502
830	2456	499
831	2458	496
832	2461	493
833	2463	490
834	2466	487
835	2468	484
836	2471	481
837	2473	478
838	2475	475
839	2477	471
840	2480	468
841	2482	465
842	2484	462
843	2487	459
844	2489	456
845	2491	453
846	2493	450
847	2495	447
848	2497	444
849	2500	441
850	2502	438
851	2504	435
852	2506	431
853	2508	428
854	2509	425
855	2511	422
856	2513	419
857	2514	416
858	2516	413
859	2517	409
860	2519	406
861	2521	403
862	2523	400
863	2524	397
864	2526	394
865	2528	391
866	2530	388
867	2531	384
868	2533	381
869	2534	378
870	2536	375
871	2538	372
872	2539	369
873	2541	366
874	2543	363
875	2544	360
876	2546	357
877	2548	354
878	2550	351
879	2551	347
880	2553	344
881	2555	341
882	2557	338
883	2558	335
884	2560	332
885	2562	329
886	2564	326
887	2565	323
888	2567	320
889	2569	317
890	2571	314
891	2572	311
892	2574	308
893	2576	305
894	2577	302
